ID,English,Japanese,WrongCount
"1","follow","～の後に続く、～に従う",0
"2","consider","～を考慮する",0
"3","increase","増える、～を増やす",0
"4","expect","～を予期する",0
"5","decide","～することを決意する",0
"6","develop","発達する、～を発達させる",0
"7","provide","～を供給する、与える",0
"8","continue","続く、～を続ける",0
"9","include","～を含む、含める",0
"10","remain","ままでいる",0
"11","reach","～に着く、～に達する",0
"12","allow","～を許可する",0
"13","force","～を強制する",0
"14","offer","～を申し出る",0
"15","realize","～を悟る",0
"16","suggest","～と提案する、～をほのめかす",0
"17","require","～を必要とする",0
"18","worry","心配する",0
"19","wonder","～かと疑問に思う",0
"20","cost","～を要する",0
"21","tend","～する傾向がある、～しがちである",0
"22","depend","～に依存する、～しだいで決まる",0
"23","share","～を分け合う、共有する",0
"24","demand","～を要求する",0
"25","support","～を支持する",0
"26","hire","～を雇う",0
"27","regard","AをBだと思う、みなす",0
"28","base","AがBに基づいている",0
"29","improve","～を向上させる",0
"30","recognize","～を認める",0
"31","notice","～に気づく",0
"32","suppose","～だと思う",0
"33","raise","～を上げる、～を育てる",0
"34","prefer","～をより好む",0
"35","cheer","～を励ます",0
"36","suffer","～を経験する、受ける、苦しむ",0
"37","describe","～を描写する、～の特徴を説明する",0
"38","prevent","～をさまたげる",0
"39","reduce","～を減らす",0
"40","mistake","～を誤解する、まちがえる",0
"41","prepare","～の準備をする",0
"42","encourage","はげます",0
"43","prove","～だとわかる",0
"44","treat","～をあつかう",0
"45","establish","～を設立する、創立する",0
"46","relate","関係がある",0
"47","compare","～を比較する、～をたとえる",0
"48","spread","～を広げる；広がる",0
"49","refer","～を指示する",0
"50","supply","～を供給する",0
"51","gain","～を得る",0
"52","destroy","～を破壊する",0
"53","apply","当てはまる、申し込む",0
"54","seek","～を求める",0
"55","search","～を捜す",0
"56","claim","～と主張する",0
"57","draw","～を引っぱる",0
"58","refuse","～を断る",0
"59","respond","～に返答する",0
"60","mention","～について述べる",0
"61","judge","～を判断する",0
"62","approach","～に接近する；～に取り組む；方法",0
"63","admit","～を認める",0
"64","reflect","～を反映する、～を反射する",0
"65","perform","～を行う、～を遂行する",0
"66","bore","～をうんざりさせる",0
"67","survive","生き残る",0
"68","represent","～を表す",0
"69","argue","～と主張する",0
"70","grant","～を認める、～を与える",0
"71","indicate","～を指し示す",0
"72","belong","所属している",0
"73","acquire","～を習得する",0
"74","reply","返事をする",0
"75","feed","～にエサをやる",0
"76","escape","逃げる",0
"77","replace","～に取って代わる、～を取り替える",0
"78","reveal","～を明らかにする",0
"79","surround","～を取り囲む",0
"80","suit","～に合う",0
"81","estimate","～を推定する",0
"82","aim","～をねらう",0
"83","earn","～をもうける、かせぐ",0
"84","decline","衰退する、低下する、～を辞退する",0
"85","afford","～をする余裕がある",0
"86","confuse","～を当惑させる",0
"87","graduate","～を卒業する",0
"88","vary","変わる、さまざまである",0
"89","remove","～を移す、取り去る",0
"90","insist","～と主張する、言い張る",0
"91","examine","～を調査する",0
"92","remind","ＡにＢを思い出させる",0
